observer,cd,bk,t,n,hetero_fix,ts
d1,long,block 1,14,3,0,0.13541666666666666
d1,long,block 1,14,4,0,0.13541666666666666
d1,long,block 1,14,5,0,0.13541666666666666
d1,long,block 1,15,2,0,0.14583333333333334
d1,long,block 1,15,3,0,0.14583333333333334
d1,long,block 1,15,4,0,0.14583333333333334
d1,long,block 1,15,5,0,0.14583333333333334
d1,long,block 1,16,2,1,0.15625
d1,long,block 1,16,3,1,0.15625
d1,long,block 1,16,4,0,0.15625
d1,long,block 1,16,5,0,0.15625
d1,long,block 1,16,6,0,0.15625
d1,long,block 1,17,2,0,0.16666666666666666
d1,long,block 1,17,3,0,0.16666666666666666
d1,long,block 1,17,4,0,0.16666666666666666
d1,long,block 1,17,5,0,0.16666666666666666
d1,long,block 1,17,6,0,0.16666666666666666
d1,long,block 1,18,2,1,0.17708333333333334
d1,long,block 1,18,3,0,0.17708333333333334
d1,long,block 1,18,4,0,0.17708333333333334
d1,long,block 1,19,2,1,0.1875
d1,long,block 1,19,3,1,0.1875
d1,long,block 1,19,4,0,0.1875
d1,long,block 1,19,5,0,0.1875
d1,long,block 1,19,6,0,0.1875
d1,long,block 1,20,2,1,0.19791666666666666
d1,long,block 1,20,3,0,0.19791666666666666
d1,long,block 1,20,4,0,0.19791666666666666
d1,long,block 1,20,5,0,0.19791666666666666
d1,long,block 1,20,6,0,0.19791666666666666
d1,long,block 1,21,2,1,0.20833333333333334
d1,long,block 1,21,3,1,0.20833333333333334
d1,long,block 1,21,4,1,0.20833333333333334
d1,long,block 1,21,5,0,0.20833333333333334
d1,long,block 1,21,6,0,0.20833333333333334
d1,long,block 1,22,2,1,0.21875
d1,long,block 1,22,3,0,0.21875
d1,long,block 1,22,4,0,0.21875
d1,long,block 1,22,5,0,0.21875
d1,long,block 1,22,6,0,0.21875
d1,long,block 1,23,2,0,0.22916666666666666
d1,long,block 1,23,3,0,0.22916666666666666
d1,long,block 1,23,4,0,0.22916666666666666
d1,long,block 1,23,5,0,0.22916666666666666
d1,long,block 1,23,6,0,0.22916666666666666
d1,long,block 1,24,2,0,0.23958333333333334
d1,long,block 1,24,3,0,0.23958333333333334
d1,long,block 1,24,4,0,0.23958333333333334
d1,long,block 1,24,5,0,0.23958333333333334
d1,long,block 1,24,6,0,0.23958333333333334
d1,long,block 1,25,2,1,0.25
d1,long,block 1,25,3,0,0.25
d1,long,block 1,25,4,0,0.25
d1,long,block 1,25,5,0,0.25
d1,long,block 1,25,6,0,0.25
d1,long,block 1,26,2,1,0.2604166666666667
d1,long,block 1,26,3,0,0.2604166666666667
d1,long,block 1,26,4,0,0.2604166666666667
d1,long,block 1,26,5,0,0.2604166666666667
d1,long,block 1,26,6,0,0.2604166666666667
d1,long,block 1,27,2,1,0.2708333333333333
d1,long,block 1,27,3,0,0.2708333333333333
d1,long,block 1,27,4,0,0.2708333333333333
d1,long,block 1,28,2,0,0.28125
d1,long,block 1,28,3,1,0.28125
d1,long,block 1,28,4,1,0.28125
d1,long,block 1,28,5,0,0.28125
d1,long,block 1,28,6,0,0.28125
d1,long,block 1,29,2,1,0.2916666666666667
d1,long,block 1,29,3,0,0.2916666666666667
d1,long,block 1,29,4,0,0.2916666666666667
d1,long,block 1,29,5,1,0.2916666666666667
d1,long,block 1,29,6,1,0.2916666666666667
d1,long,block 1,30,2,0,0.3020833333333333
d1,long,block 1,30,3,0,0.3020833333333333
d1,long,block 1,30,4,0,0.3020833333333333
d1,long,block 1,30,5,0,0.3020833333333333
d1,long,block 1,30,6,0,0.3020833333333333
d1,long,block 1,31,2,0,0.3125
d1,long,block 1,31,3,0,0.3125
d1,long,block 1,31,4,0,0.3125
d1,long,block 1,31,5,0,0.3125
d1,long,block 1,31,6,0,0.3125
d1,long,block 1,32,2,0,0.3229166666666667
d1,long,block 1,32,3,0,0.3229166666666667
d1,long,block 1,32,4,0,0.3229166666666667
d1,long,block 1,32,5,0,0.3229166666666667
d1,long,block 1,32,6,0,0.3229166666666667
d1,long,block 1,33,2,0,0.3333333333333333
d1,long,block 1,33,3,1,0.3333333333333333
d1,long,block 1,33,4,0,0.3333333333333333
d1,long,block 1,33,5,0,0.3333333333333333
d1,long,block 1,33,6,0,0.3333333333333333
d1,long,block 1,34,2,1,0.34375
d1,long,block 1,34,3,1,0.34375
d1,long,block 1,34,4,1,0.34375
d1,long,block 1,34,5,1,0.34375
d1,long,block 1,34,6,1,0.34375
d1,long,block 1,35,2,1,0.3541666666666667
d1,long,block 1,35,3,1,0.3541666666666667
d1,long,block 1,35,4,0,0.3541666666666667
d1,long,block 1,35,5,0,0.3541666666666667
d1,long,block 1,35,6,1,0.3541666666666667
d1,long,block 1,36,2,1,0.3645833333333333
d1,long,block 1,36,3,1,0.3645833333333333
d1,long,block 1,36,4,0,0.3645833333333333
d1,long,block 1,36,5,0,0.3645833333333333
d1,long,block 1,36,6,0,0.3645833333333333
d1,long,block 1,37,2,1,0.375
d1,long,block 1,37,3,1,0.375
d1,long,block 1,37,4,0,0.375
d1,long,block 1,37,5,0,0.375
d1,long,block 1,37,6,0,0.375
d1,long,block 1,38,2,0,0.3854166666666667
d1,long,block 1,38,3,0,0.3854166666666667
d1,long,block 1,38,4,0,0.3854166666666667
d1,long,block 1,38,5,0,0.3854166666666667
